"SAQ CODE (IPC)/CODE SAQ (CIP)";"SUPPLIER NO/NO FOURNISSEUR";"OUTLET NO/NO SUCCURSALE";"CLIENT TYPE/TYPE CLIENT";"AD NO/NO DA";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"AMOUNT/MONTANT"
"10254012";17972428;"23094";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23095";"01";0;2025;10;1;2;112.61
"10254012";17972428;"23095";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23096";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23097";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23098";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23099";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23100";"02";0;2025;10;1;10;565
"10254012";17972428;"23101";"02";0;2025;10;1;2;113
"10254012";17972428;"23102";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23102";"02";0;2025;10;1;4;226
"10254012";17972428;"23104";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23104";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23105";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23105";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23106";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23106";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23107";"02";0;2025;10;1;8;452
"10254012";17972428;"23108";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23109";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23112";"02";0;2025;10;1;4;226
"10254012";17972428;"23113";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23114";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23115";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23116";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23118";"02";0;2025;10;1;2;113
"10254012";17972428;"23119";"01";0;2025;10;1;7;394.11
"10254012";17972428;"23119";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23121";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23122";"02";0;2025;10;1;4;226
"10254012";17972428;"23123";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23124";"02";0;2025;10;1;2;113
"10254012";17972428;"23125";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23125";"99";0;2025;10;1;1;56.5
"10254012";17972428;"23126";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23128";"02";0;2025;10;1;2;113
"10254012";17972428;"23129";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23129";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23130";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23131";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23132";"02";0;2025;10;1;26;1469
"10254012";17972428;"23133";"02";0;2025;10;1;22;1243
"10254012";17972428;"23134";"01";0;2025;10;1;6;337.82
"10254012";17972428;"23134";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23135";"02";0;2025;10;1;4;226
"10254012";17972428;"23136";"02";0;2025;10;1;20;1130
"10254012";17972428;"23137";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23138";"02";0;2025;10;1;4;226
"10254012";17972428;"23140";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23140";"02";0;2025;10;1;6;339
"10254012";17972428;"23141";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23141";"02";0;2025;10;1;12;678
"10254012";17972428;"23142";"02";0;2025;10;1;11;621.5
"10254012";17972428;"23144";"01";0;2025;10;1;8;450.42
"10254012";17972428;"23144";"02";0;2025;10;1;13;734.5
"10254012";17972428;"23145";"02";0;2025;10;1;4;226
"10254012";17972428;"23146";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23146";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23148";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23148";"02";0;2025;10;1;6;339
"10254012";17972428;"23150";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23151";"02";0;2025;10;1;11;621.5
"10254012";17972428;"23152";"02";0;2025;10;1;10;565
"10254012";17972428;"23153";"01";0;2025;10;1;7;394.13
"10254012";17972428;"23153";"02";0;2025;10;1;8;452
"10254012";17972428;"23155";"02";0;2025;10;1;4;226
"10254012";17972428;"23156";"02";0;2025;10;1;6;339
"10254012";17972428;"23158";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23159";"02";0;2025;10;1;10;565
"10254012";17972428;"23160";"02";0;2025;10;1;6;339
"10254012";17972428;"23162";"01";0;2025;10;1;20;1126.06
"10254012";17972428;"23162";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23163";"02";0;2025;10;1;2;113
"10254012";17972428;"23165";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23165";"02";0;2025;10;1;15;847.5
"10254012";17972428;"23166";"01";0;2025;10;1;2;112.61
"10254012";17972428;"23166";"02";0;2025;10;1;4;226
"10254012";17972428;"23167";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23168";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23169";"02";0;2025;10;1;4;226
"10254012";17972428;"23170";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23171";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23171";"02";0;2025;10;1;10;565
"10254012";17972428;"23173";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23174";"02";0;2025;10;1;4;226
"10254012";17972428;"23176";"02";0;2025;10;1;4;226
"10254012";17972428;"23177";"02";0;2025;10;1;18;1017
"10254012";17972428;"23179";"02";0;2025;10;1;2;113
"10254012";17972428;"23180";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23181";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23182";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23182";"99";0;2025;10;1;1;56.5
"10254012";17972428;"23183";"01";0;2025;10;1;2;112.61
"10254012";17972428;"23183";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23183";"20";0;2025;10;1;12;669.15
"10254012";17972428;"23184";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23185";"02";0;2025;10;1;8;452
"10254012";17972428;"23186";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23187";"02";0;2025;10;1;18;1017
"10254012";17972428;"23188";"02";0;2025;10;1;11;621.5
"10254012";17972428;"23189";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23189";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23190";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23191";"01";0;2025;10;1;5;281.51
"10254012";17972428;"23191";"02";0;2025;10;1;15;847.5
"10254012";17972428;"23192";"01";0;2025;10;1;10;563.02
"10254012";17972428;"23192";"02";0;2025;10;1;15;847.5
"10254012";17972428;"23194";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23194";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23195";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23196";"01";0;2025;10;1;5;281.51
"10254012";17972428;"23196";"02";0;2025;10;1;8;452
"10254012";17972428;"23197";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23198";"02";0;2025;10;1;4;226
"10254012";17972428;"23199";"02";0;2025;10;1;13;734.5
"10254012";17972428;"23200";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23202";"02";0;2025;10;1;17;960.5
"10254012";17972428;"23203";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23205";"02";0;2025;10;1;28;1582
"10254012";17972428;"23207";"02";0;2025;10;1;6;339
"10254012";17972428;"23208";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23209";"01";0;2025;10;1;4;225.2
"10254012";17972428;"23209";"02";0;2025;10;1;18;1017
"10254012";17972428;"23210";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23211";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23212";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23213";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23214";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23215";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23215";"02";0;2025;10;1;14;791
"10254012";17972428;"23216";"02";0;2025;10;1;4;226
"10254012";17972428;"23217";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23218";"01";0;2025;10;1;75;4222.75
"10254012";17972428;"23218";"02";0;2025;10;1;12;678
"10254012";17972428;"23219";"02";0;2025;10;1;2;113
"10254012";17972428;"23220";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23221";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23222";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23223";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23224";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23226";"02";0;2025;10;1;6;339
"10254012";17972428;"23227";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23228";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23229";"02";0;2025;10;1;8;452
"10254012";17972428;"23230";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23231";"02";0;2025;10;1;4;226
"10254012";17972428;"23233";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23235";"02";0;2025;10;1;2;113
"10254012";17972428;"23237";"02";0;2025;10;1;6;339
"10254012";17972428;"23239";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23240";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23243";"02";0;2025;10;1;4;226
"10254012";17972428;"23244";"02";0;2025;10;1;6;339
"10254012";17972428;"23246";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23247";"02";0;2025;10;1;6;339
"10254012";17972428;"23250";"02";0;2025;10;1;8;452
"10254012";17972428;"23291";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23292";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23301";"02";0;2025;10;1;12;678
"10254012";17972428;"23303";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23304";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23308";"02";0;2025;10;1;8;452
"10254012";17972428;"23311";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23312";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23313";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23314";"02";0;2025;10;1;6;339
"10254012";17972428;"23324";"02";0;2025;10;1;4;226
"10254012";17972428;"23325";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23327";"02";0;2025;10;1;4;226
"10254012";17972428;"23329";"02";0;2025;10;1;4;226
"10254012";17972428;"23330";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23330";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23331";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23333";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23334";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23335";"02";0;2025;10;1;10;565
"10254012";17972428;"23336";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23337";"02";0;2025;10;1;14;791
"10254012";17972428;"23343";"01";0;2025;10;1;3;168.91
"10254012";17972428;"23343";"02";0;2025;10;1;11;621.5
"10254012";17972428;"23344";"01";0;2025;10;1;14;788.24
"10254012";17972428;"23344";"02";0;2025;10;1;4;226
"10254012";17972428;"23347";"01";0;2025;10;1;2;112.6
"10254012";17972428;"23347";"02";0;2025;10;1;10;565
"10254012";17972428;"23348";"02";0;2025;10;1;19;1073.5
"10254012";17972428;"23349";"02";0;2025;10;1;4;226
"10254012";17972428;"23355";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23356";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23357";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23358";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23359";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23361";"01";0;2025;10;1;16;900.84
"10254012";17972428;"23361";"02";0;2025;10;1;8;452
"10254012";17972428;"23362";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23362";"02";0;2025;10;1;8;452
"10254012";17972428;"23363";"02";0;2025;10;1;6;339
"10254012";17972428;"23365";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23366";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23367";"02";0;2025;10;1;4;226
"10254012";17972428;"23368";"02";0;2025;10;1;4;226
"10254012";17972428;"23371";"02";0;2025;10;1;13;734.5
"10254012";17972428;"23379";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23380";"01";0;2025;10;1;4;225.2
"10254012";17972428;"23380";"02";0;2025;10;1;17;960.5
"10254012";17972428;"23381";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23385";"01";0;2025;10;1;48;2702.53
"10254012";17972428;"23390";"01";0;2025;10;1;94;5290.37
"10254012";17972428;"23390";"99";0;2025;10;1;2;113
"10254012";17972428;"23451";"02";0;2025;10;1;10;565
"10254012";17972428;"33501";"02";0;2025;10;1;7;395.5
"10254012";17972428;"33505";"02";0;2025;10;1;11;621.5
"10254012";17972428;"33505";"20";0;2025;10;1;12;669.15
"10254012";17972428;"33506";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33507";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33508";"02";0;2025;10;1;5;282.5
"10254012";17972428;"33509";"02";0;2025;10;1;2;113
"10254012";17972428;"33510";"02";0;2025;10;1;2;113
"10254012";17972428;"33511";"01";0;2025;10;1;2;112.61
"10254012";17972428;"33511";"02";0;2025;10;1;7;395.5
"10254012";17972428;"33512";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33514";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33515";"02";0;2025;10;1;2;113
"10254012";17972428;"33517";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33518";"02";0;2025;10;1;4;226
"10254012";17972428;"33520";"02";0;2025;10;1;4;226
"10254012";17972428;"33521";"02";0;2025;10;1;4;226
"10254012";17972428;"33523";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33526";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33527";"01";0;2025;10;1;2;112.61
"10254012";17972428;"33527";"02";0;2025;10;1;2;113
"10254012";17972428;"33528";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33531";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33532";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33534";"02";0;2025;10;1;2;113
"10254012";17972428;"33535";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33536";"02";0;2025;10;1;8;452
"10254012";17972428;"33537";"02";0;2025;10;1;2;113
"10254012";17972428;"33538";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33539";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33540";"02";0;2025;10;1;2;113
"10254012";17972428;"33541";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33542";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33544";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33545";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33546";"01";0;2025;10;1;4;225.21
"10254012";17972428;"33546";"02";0;2025;10;1;8;452
"10254012";17972428;"33547";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33548";"02";0;2025;10;1;6;339
"10254012";17972428;"33549";"02";0;2025;10;1;2;113
"10254012";17972428;"33550";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33551";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33553";"02";0;2025;10;1;13;734.5
"10254012";17972428;"33555";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33557";"02";0;2025;10;1;2;113
"10254012";17972428;"33559";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33560";"01";0;2025;10;1;4;225.21
"10254012";17972428;"33561";"02";0;2025;10;1;4;226
"10254012";17972428;"33562";"01";0;2025;10;1;1;56.3
"10254012";17972428;"33562";"02";0;2025;10;1;8;452
"10254012";17972428;"33564";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33565";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33566";"02";0;2025;10;1;2;113
"10254012";17972428;"33567";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33569";"02";0;2025;10;1;2;113
"10254012";17972428;"33570";"01";0;2025;10;1;1;56.3
"10254012";17972428;"33570";"02";0;2025;10;1;5;282.5
"10254012";17972428;"33571";"01";0;2025;10;1;5;281.52
"10254012";17972428;"33571";"02";0;2025;10;1;9;508.5
"10254012";17972428;"33571";"20";0;2025;10;1;12;669.15
"10254012";17972428;"33573";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33574";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33575";"02";0;2025;10;1;2;113
"10254012";17972428;"33576";"02";0;2025;10;1;4;226
"10254012";17972428;"33577";"01";0;2025;10;1;1;56.3
"10254012";17972428;"33577";"02";0;2025;10;1;4;226
"10254012";17972428;"33578";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33581";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33582";"02";0;2025;10;1;4;226
"10254012";17972428;"33583";"02";0;2025;10;1;8;452
"10254012";17972428;"33584";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33585";"02";0;2025;10;1;5;282.5
"10254012";17972428;"33589";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33590";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33594";"02";0;2025;10;1;2;113
"10254012";17972428;"33594";"99";0;2025;10;1;1;56.5
"10254012";17972428;"33595";"02";0;2025;10;1;4;226
"10254012";17972428;"33596";"02";0;2025;10;1;4;226
"10254012";17972428;"33601";"02";0;2025;10;1;5;282.5
"10254012";17972428;"33604";"02";0;2025;10;1;4;226
"10254012";17972428;"33605";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33608";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33609";"01";0;2025;10;1;1;56.3
"10254012";17972428;"33609";"02";0;2025;10;1;7;395.5
"10254012";17972428;"33610";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33611";"02";0;2025;10;1;4;226
"10254012";17972428;"33612";"02";0;2025;10;1;2;113
"10254012";17972428;"33613";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33614";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33615";"02";0;2025;10;1;2;113
"10254012";17972428;"33616";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33617";"02";0;2025;10;1;2;113
"10254012";17972428;"33618";"02";0;2025;10;1;7;395.5
"10254012";17972428;"33619";"02";0;2025;10;1;2;113
"10254012";17972428;"33619";"99";0;2025;10;1;1;56.5
"10254012";17972428;"33620";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33623";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33624";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33625";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33626";"02";0;2025;10;1;2;113
"10254012";17972428;"33629";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33630";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33632";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33635";"02";0;2025;10;1;5;282.5
"10254012";17972428;"33637";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33638";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33691";"01";0;2025;10;1;17;957.13
"10254012";17972428;"33692";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33693";"02";0;2025;10;1;4;226
"10254012";17972428;"33694";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33695";"02";0;2025;10;1;3;169.5
"10254012";17972428;"33851";"01";0;2025;10;1;1;56.3
"10254012";17972428;"33853";"02";0;2025;10;1;1;56.5
"10254012";17972428;"33856";"02";0;2025;10;1;1;56.5
"10254012";17972428;"CDM";"01";0;2025;10;1;889;50053.59
"10254012";17972428;"CDM";"15";0;2025;10;1;48;1163.04
"10254012";17972428;"CDM";"99";0;2025;10;1;71;1188.16
"10254012";17972428;"CDQ";"01";0;2025;10;1;99;5573.99
"10330214";1757623;"23002";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23006";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23016";"02";0;2025;10;1;7;159.6
"10330214";1757623;"23025";"02";0;2025;10;1;4;91.2
"10330214";1757623;"23026";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23029";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23033";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23037";"02";0;2025;10;1;12;273.6
"10330214";1757623;"23040";"01";0;2025;10;1;1;22.75
"10330214";1757623;"23040";"02";0;2025;10;1;11;250.8
"10330214";1757623;"23042";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23043";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23045";"02";0;2025;10;1;4;91.2
"10330214";1757623;"23048";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23050";"02";0;2025;10;1;5;114
"10330214";1757623;"23051";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23052";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23053";"02";0;2025;10;1;11;250.8
"10330214";1757623;"23054";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23056";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23060";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23062";"02";0;2025;10;1;5;114
"10330214";1757623;"23063";"02";0;2025;10;1;6;136.8
"10330214";1757623;"23066";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23068";"02";0;2025;10;1;9;205.2
"10330214";1757623;"23069";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23070";"02";0;2025;10;1;6;136.8
"10330214";1757623;"23074";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23081";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23084";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23088";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23096";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23097";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23098";"02";0;2025;10;1;2;45.6
"10330214";1757623;"23102";"02";0;2025;10;1;6;136.8
"10330214";1757623;"23104";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23105";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23108";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23110";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23112";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23119";"02";0;2025;10;1;6;136.8
"10330214";1757623;"23120";"02";0;2025;10;1;3;68.4
"10330214";1757623;"23122";"02";0;2025;10;1;1;22.8
"10330214";1757623;"23123";"02";0;2025;10;1;4;91.2
